
rm -rf ./cmake/*

04-21 14:40:21.668 352642 352642 [I] watch_file: wd: 7, mask: 0x200(IN_DELETE), cookie: 0, len: 32, name: CMakeCCompilerId.c
04-21 14:40:21.669 352642 352642 [I] watch_file: wd: 6, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdC
04-21 14:40:21.671 352642 352642 [I] watch_file: wd: 6, mask: 0x40000200(IN_DELETE | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdC
04-21 14:40:21.672 352642 352642 [I] watch_file: wd: 6, mask: 0x200(IN_DELETE), cookie: 0, len: 32, name: CMakeCCompiler.cmake
04-21 14:40:21.673 352642 352642 [I] watch_file: wd: 6, mask: 0x200(IN_DELETE), cookie: 0, len: 32, name: CMakeDetermineCompilerABI_C.bin
04-21 14:40:21.674 352642 352642 [I] watch_file: wd: 6, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdCXX
04-21 14:40:21.675 352642 352642 [I] watch_file: wd: 6, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdCXX
04-21 14:40:21.676 352642 352642 [I] watch_file: wd: 6, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdCXX
04-21 14:40:21.677 352642 352642 [I] watch_file: wd: 6, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdCXX
04-21 14:40:21.678 352642 352642 [I] watch_file: wd: 6, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdCXX
04-21 14:40:21.679 352642 352642 [I] watch_file: wd: 6, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdCXX
04-21 14:40:21.680 352642 352642 [I] watch_file: wd: 9, mask: 0x200(IN_DELETE), cookie: 0, len: 16, name: a.out
04-21 14:40:21.681 352642 352642 [I] watch_file: wd: 9, mask: 0x200(IN_DELETE), cookie: 0, len: 32, name: CMakeCXXCompilerId.cpp
04-21 14:40:21.682 352642 352642 [I] watch_file: wd: 9, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: tmp
04-21 14:40:21.683 352642 352642 [I] watch_file: wd: 9, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: tmp
04-21 14:40:21.684 352642 352642 [I] watch_file: wd: 9, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: tmp
04-21 14:40:21.685 352642 352642 [I] watch_file: wd: 9, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: tmp
04-21 14:40:21.686 352642 352642 [I] watch_file: wd: 9, mask: 0x40000200(IN_DELETE | IN_ISDIR), cookie: 0, len: 16, name: tmp
04-21 14:40:21.687 352642 352642 [I] watch_file: wd: 6, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdCXX
04-21 14:40:21.688 352642 352642 [I] watch_file: wd: 6, mask: 0x40000200(IN_DELETE | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdCXX
04-21 14:40:21.689 352642 352642 [I] watch_file: wd: 5, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: 3.16.3
