04-22 16:30:43.943 563114 563114 [I] watch_file: wd: 6, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdC
04-22 16:30:43.944 563114 563114 [I] watch_file: wd: 7, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.945 563114 563114 [I] watch_file: wd: 6, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdCXX
04-22 16:30:43.946 563114 563114 [I] watch_file: wd: 9, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.947 563114 563114 [I] watch_file: wd: 6, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdCXX
04-22 16:30:43.948 563114 563114 [I] watch_file: wd: 9, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.949 563114 563114 [I] watch_file: wd: 9, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: tmp
04-22 16:30:43.950 563114 563114 [I] watch_file: wd: 10, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.951 563114 563114 [I] watch_file: wd: 9, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: tmp
04-22 16:30:43.952 563114 563114 [I] watch_file: wd: 10, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.953 563114 563114 [I] watch_file: wd: 9, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: tmp
04-22 16:30:43.954 563114 563114 [I] watch_file: wd: 10, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.955 563114 563114 [I] watch_file: wd: 9, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: tmp
04-22 16:30:43.956 563114 563114 [I] watch_file: wd: 10, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.958 563114 563114 [I] watch_file: wd: 6, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdCXX
04-22 16:30:43.959 563114 563114 [I] watch_file: wd: 9, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.960 563114 563114 [I] watch_file: wd: 6, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdCXX
04-22 16:30:43.961 563114 563114 [I] watch_file: wd: 9, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.962 563114 563114 [I] watch_file: wd: 5, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: 3.16.3
04-22 16:30:43.963 563114 563114 [I] watch_file: wd: 6, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.964 563114 563114 [I] watch_file: wd: 5, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: 3.16.3
04-22 16:30:43.965 563114 563114 [I] watch_file: wd: 6, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.966 563114 563114 [I] watch_file: wd: 5, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: CMakeTmp
04-22 16:30:43.967 563114 563114 [I] watch_file: wd: 11, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.968 563114 563114 [I] watch_file: wd: 5, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CMakeTmp
04-22 16:30:43.969 563114 563114 [I] watch_file: wd: 11, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.969 563114 563114 [I] watch_file: wd: 5, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CMakeTmp
04-22 16:30:43.970 563114 563114 [I] watch_file: wd: 11, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.971 563114 563114 [I] watch_file: wd: 5, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: CMakeTmp
04-22 16:30:43.972 563114 563114 [I] watch_file: wd: 11, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.973 563114 563114 [I] watch_file: wd: 4, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CMakeFiles
04-22 16:30:43.974 563114 563114 [I] watch_file: wd: 5, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 0, name: (null)
04-22 16:30:43.975 563114 563114 [I] watch_file: wd: 4, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: CMakeFiles
04-22 16:30:43.976 563114 563114 [I] watch_file: wd: 5, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 0, name: (null)
